Conclusion,Revised classification,Basis
"Breakpoint-similar countries can have materially divergent MIC distributions (general claim)",Strongly supported,"All 4 headline cases' PRIMARY geometric-mean permutation tests are Bonferroni-significant; the %R risk-difference test is the only correction-dependent test, and only for Argentina vs Tunisia. 3 of 4 cases are 100% threshold-robust across the 48-combination sensitivity grid. Geometric-mean permutation tests reject at p<=0.0013 in all 7 country-pair comparisons tested in Stage 4."
"H. influenzae AXO (ceftriaxone), Philippines vs. Vietnam",Strongly supported,"p<0.0001 (permutation); 100% sensitivity-grid persistence; non-overlapping bootstrap CIs (GeoMean 0.0150-0.0155 vs 0.1122-0.1630); largest effect size in the dataset (3.16 log2 steps)."
"S. pneumoniae AXO (ceftriaxone), Argentina vs. Tunisia",Moderately supported,"Primary geometric-mean permutation test is Bonferroni-significant (p<0.0001); the SECONDARY %R risk-difference test (Fisher's exact p=0.0239) is significant under BH-FDR but not Bonferroni/Holm; only 50% persistence under stricter sensitivity thresholds; the %R difference being itself borderline-significant weakens this pair's 'similar resistance' premise, not its geometric-mean finding."
"S. pneumoniae AMX and AMC, Argentina vs. Kenya",Strongly supported,"100% sensitivity-grid persistence (including strictest thresholds); significant after all three correction methods; consistent multi-drug-class direction."
"H. influenzae ceftriaxone (AXO) MIC creep, 2016-2018, invisible to %R",Strongly supported,"%R literally not computable (0 resistant isolates all 3 years); geometric-mean trend p<0.0001 with a CI excluding zero (0.471-0.778 log2/year)."
"H. influenzae cefdinir (CDN) MIC creep, invisible to %R",Strongly supported,"%R trend non-significant (Cochran-Armitage p=0.314); geometric-mean trend p<0.0001 (slope 0.199-0.433 log2/year)."
"H. influenzae amoxicillin-clavulanate (AMC) 'hidden' creep",Not supported as originally framed,"%R trend itself statistically significant (Cochran-Armitage p=0.00049) -- this is a partially-visible, not hidden, trend; the geometric-mean shift is still real (p<0.0001) but the 'invisible to breakpoint surveillance' framing does not apply to this antibiotic."
"Hidden-signal cases: identical MIC50/MIC90/%R, divergent geometric mean (Tunisia/Ukraine, AMC and POD)",Strongly supported,"Both primary (permutation p=0.0013 and p<0.0001) and secondary (Mann-Whitney p=0.00016 and p=0.00036) tests significant; Turnbull-median test correctly confirms no median-level difference in either pair (internal consistency check passed)."
"Hidden-signal case: Chile vs. Vietnam, CLA (clarithromycin)",Moderately supported,"Primary test significant (p<0.0001) but secondary Mann-Whitney test borderline and non-significant after correction (p=0.050) -- real phenomenon, weaker statistical strength than the other two hidden-signal cases."
"General hypothesis: MIC distributions carry information beyond %R",Strongly supported by this dataset's evidence,"Remains a single-dataset, non-externally-validated demonstration -- statistical significance within this dataset is not the same as generalizability beyond it."
"Biological mechanisms proposed (selection pressure, PBP mutation accumulation)",Not supported / not testable with available data,"Statistical confidence in the existence of the distributional patterns does not extend to any specific causal mechanism, which remains outside this dataset's evidentiary reach (no molecular/genotypic data available)."
